날짜,close,volume,tradingValue
2024-06-03,199000,1469329,292396471000
2024-06-04,233500,4791829,1118892071500
2024-06-05,238000,2086713,496637694000
2024-06-07,269000,2857943,768786667000
2024-06-10,253000,1736891,439433423000
2024-06-11,283500,2972232,842627772000
2024-06-12,276000,1383564,381863664000
2024-06-13,268500,1888940,507180390000
2024-06-14,265000,1011279,267988935000
2024-06-17,267500,992296,265439180000
2024-06-18,273500,829928,226985308000
2024-06-19,255000,1191608,303860040000
2024-06-20,259500,814568,211380396000
2024-06-21,281000,1901776,534399056000
2024-06-24,286000,1246288,356438368000
2024-06-25,289500,807498,233770671000
2024-06-26,286000,675152,193093472000
2024-06-27,284500,1384490,393887405000
2024-06-28,280500,660408,185244444000
2024-07-01,277500,585740,162542850000
2024-07-02,262500,1353467,355285087500
2024-07-03,258500,647987,167504639500
2024-07-04,257000,670641,172354737000
2024-07-05,279000,1227503,342473337000
2024-07-08,272500,1180188,321601230000
2024-07-09,262500,847411,222445387500
2024-07-10,270000,915461,247174470000
2024-07-11,269500,824947,222323216500
2024-07-12,272500,1111137,302784832500
2024-07-15,278500,817537,227684054500
2024-07-16,273000,744022,203118006000
2024-07-17,274000,463467,126989958000
2024-07-18,263000,635432,167118616000
2024-07-19,271500,420452,114152718000
2024-07-22,264000,458389,121014696000
2024-07-23,285000,1528091,435505935000
2024-07-24,304500,1562612,475815354000
2024-07-25,275500,1381700,380658350000
2024-07-26,283500,788442,223523307000
2024-07-29,298500,676704,201996144000
2024-07-30,320500,2349207,752920843500
2024-07-31,315000,1356855,427409325000
2024-08-01,319000,656310,209362890000
2024-08-02,295000,1007536,297223120000
2024-08-05,261500,1973233,516000429500
2024-08-06,279000,3135455,874791945000
2024-08-07,284000,848285,240912940000
2024-08-08,297000,1109967,329660199000
2024-08-09,302000,1015992,306829584000
2024-08-12,303000,545500,165286500000
2024-08-13,292500,774853,226644502500
2024-08-14,292500,430710,125982675000
2024-08-16,301000,577339,173779039000
2024-08-19,298500,389208,116178588000
2024-08-20,300500,791286,237781443000
2024-08-21,288500,525838,151704263000
2024-08-22,289000,683068,197406652000
2024-08-23,315000,1244378,391979070000
2024-08-26,312500,526492,164528750000
2024-08-27,315000,1033401,325521315000
2024-08-28,319000,707761,225775759000
2024-08-29,315500,686421,216565825500
2024-08-30,319000,787982,251366258000
2024-09-02,322000,563264,181371008000
2024-09-03,325500,879459,286263904500
2024-09-04,307500,898049,276150067500
2024-09-05,307000,1023211,314125777000
2024-09-06,301000,612317,184307417000
2024-09-09,304500,524464,159699288000
2024-09-10,305000,404935,123505175000
2024-09-11,306000,570892,174692952000
2024-09-12,316000,629084,198790544000
2024-09-13,319500,409410,130806495000
2024-09-19,350000,1628459,569960650000
2024-09-20,363000,912080,331085040000
2024-09-23,350000,377122,131992700000
2024-09-24,353000,325349,114848197000
2024-09-25,330500,628013,207558296500
2024-09-26,341000,362187,123505767000
2024-09-27,332000,186731,61994692000
2024-09-30,327000,240960,78793920000
2024-10-02,336000,217855,73199280000
2024-10-04,356000,408874,145559144000
2024-10-07,359500,277109,99620685500
2024-10-08,369000,415456,153303264000
2024-10-10,369000,448543,165512367000
2024-10-11,386000,595848,229997328000
2024-10-14,378500,465851,176324603500
2024-10-15,386500,358081,138398306500
2024-10-16,386000,263105,101558530000
2024-10-17,384000,255155,97979520000
2024-10-18,386500,369776,142918424000
2024-10-21,397500,455801,181180897500
2024-10-22,383500,511457,196143759500
2024-10-23,380500,529532,201486926000
2024-10-24,382000,377726,144291332000
2024-10-25,374000,296491,110887634000
2024-10-28,379000,424312,160814248000
2024-10-29,386000,427296,164936256000
2024-10-30,379000,285280,108121120000
2024-10-31,376500,264895,99732967500
2024-11-01,356500,538359,191924983500
2024-11-04,389500,1236773,481723083500
2024-11-05,381000,375785,143174085000
2024-11-06,391500,520288,203692752000
2024-11-07,380000,571313,217098940000
2024-11-08,437000,2844967,1243250579000
2024-11-11,445500,925444,412285302000
2024-11-12,439500,568941,250049569500
2024-11-13,421500,1064677,448761355500
2024-11-14,441500,948572,418794538000
2024-11-15,437500,440287,192625562500
2024-11-18,407500,870924,354901530000
2024-11-19,376000,1304612,490534112000
2024-11-20,350500,1722984,603905892000
2024-11-21,346500,5095425,1765564762500
2024-11-22,292000,4645157,1356385844000
2024-11-25,331000,2365631,783023861000
2024-11-26,297000,1758526,522282222000
2024-11-27,305500,1179028,360193054000
2024-11-28,302500,853745,258257862500
2024-11-29,280000,1295036,362610080000
2024-12-02,302000,1204378,363722156000
2024-12-03,325000,1147622,372977150000
2024-12-04,318000,1409312,448161216000
2024-12-05,311000,640971,199341981000
2024-12-06,306000,1086109,332349354000
2024-12-09,285000,1192141,339760185000
2024-12-10,318000,1250760,397741680000
2024-12-11,308000,645538,198825704000
2024-12-12,312500,1203599,376124687500
2024-12-13,317000,587113,186114821000
2024-12-16,310500,730264,226746972000
2024-12-17,301500,615191,185480086500
2024-12-18,297000,679099,201692403000
2024-12-19,286500,728493,208713244500
2024-12-20,277000,780652,216240604000
2024-12-23,277000,783284,216969668000
2024-12-24,296000,1769852,523876192000
2024-12-26,301500,1439262,433937493000
2024-12-27,301000,1730717,520945817000
2024-12-30,309500,809120,250422640000
2025-01-02,300000,593351,178005300000
2025-01-03,318500,739646,235577251000
2025-01-06,315500,577381,182163705500
2025-01-07,326000,794138,258888988000
2025-01-08,310000,654854,203004740000
2025-01-09,309000,641125,198107625000
2025-01-10,309500,335293,103773183500
2025-01-13,299000,339664,101559536000
2025-01-14,307500,244268,75112410000
2025-01-15,303500,199222,60463877000
2025-01-16,312000,289445,90306840000
2025-01-17,307500,196849,60531067500
2025-01-20,318500,455776,145164656000
2025-01-21,325000,406203,132015975000
2025-01-22,342000,759686,259812612000
2025-01-23,347000,450376,156280472000
2025-01-24,362000,580269,210057378000
2025-01-31,371500,507713,188615379500
2025-02-03,352500,622851,219554977500
2025-02-04,374000,907257,339314118000
2025-02-05,376000,718400,270118400000
2025-02-06,392000,672576,263649792000
2025-02-07,391500,455077,178162645500
2025-02-10,392000,475080,186231360000
2025-02-11,378000,621324,234860472000
2025-02-12,377500,486787,183762092500
2025-02-13,370500,517401,191697070500
2025-02-14,394000,788705,310749770000
2025-02-17,398500,517076,206054786000
2025-02-18,395000,442220,174676900000
2025-02-19,387000,436280,168840360000
2025-02-20,378000,603485,228117330000
2025-02-21,392000,442073,173292616000
2025-02-24,383000,303447,116220201000
2025-02-25,393500,416909,164053691500
2025-02-26,393500,346183,136223010500
2025-02-27,401500,510062,204789893000
2025-02-28,387000,586240,226874880000
2025-03-04,400000,459797,183918800000
2025-03-05,414000,501266,207524124000
2025-03-06,390500,999302,390227431000
2025-03-07,368500,1061159,391037091500
2025-03-10,372000,496624,184744128000
2025-03-11,370000,396668,146767160000
2025-03-12,361000,502310,181333910000
2025-03-13,375000,793596,297598500000
2025-03-14,392000,1029691,403638872000
2025-03-17,439500,2053323,902435458500
2025-03-18,443500,2019144,895490364000
2025-03-19,419000,1008979,422762201000
2025-03-20,373000,2409509,898746857000
2025-03-21,370000,1293766,478693420000
2025-03-24,372500,384157,143098482500
2025-03-25,362000,360992,130679104000
2025-03-26,362000,460857,166830234000
2025-03-27,352000,305984,107706368000
2025-03-28,352500,376195,132608737500
2025-03-31,356000,786038,279829528000
2025-04-01,371500,450237,167263045500
2025-04-02,362500,307365,111419812500
2025-04-03,365000,263657,96234805000
2025-04-04,363000,556110,201867930000
2025-04-07,335500,655451,219903810500
2025-04-08,360500,619341,223272430500
2025-04-09,347500,423036,147005010000
2025-04-10,367000,416997,153037899000
